rank,source,url,name,area,bedrooms,bathrooms,sleeps,pool,parking,rating,review_count,superhost,displayed_total_5n,est_all_in_5n,est_all_in_4n,under_budget,note
1,Airbnb,https://www.airbnb.com/rooms/1632886531011031555,L. Huge 7BR Pad: Downtown 15m 3700sqft Sleeps 24,East LA (15 min to DTLA),7,5,24,yes,yes,4.88,8,yes,4405,5022,4181,yes,Top pick. Airbnb total $4405 for 5 nights displayed; added 14% LA TOT for est all-in (Airbnb cards typically display pre-tax total including cleaning). 4.88 with 8 reviews and Superhost = recent and solid.
2,VRBO,https://www.vrbo.com/3918232,Spectacular mansion with amazing views,Covina (SGV),7,5,16,yes,yes,,,,4658,5766,4706,yes,VRBO base subtotal $4658 for 5 nights with dates entered + $400 cleaning placeholder + 14% tax. ALSO cross-listed on Airbnb (1084957085118720500) at $9549 displayed — book via VRBO. Verify the $50/person/night undisclosed-guest fee does not apply when 14 are declared upfront.
3,Airbnb,https://www.airbnb.com/rooms/1630286814548143295,Starbase Azusa Group Getaway 8b/6ba Sleeps 16+,Azusa (SGV),8,6,16,no,yes,5.0,5,no,5320,6065,4852,yes,Most bedrooms under budget. $5320 displayed + 14% tax = ~$6065 — fits $7k budget for 5 nights with room to spare. 4-night = ~$4852. Only 5 reviews (newer listing). No pool is the one knock.
4,Airbnb,https://www.airbnb.com/rooms/1202414135248360924,(name truncated in card),Los Angeles,9,6,18,unknown,unknown,4.92,63,no,8825,10060,8048,no,9bd/6ba option but $8825 displayed = ~$10060 all-in. Over budget for 5 nights AND 4 nights ($8048). Strong ratings (63 reviews). Worth flagging if budget flexes.
5,Airbnb,https://www.airbnb.com/rooms/1634436045385384516,Casa Bellagio Bel-Air Hills Retreat Game Room,Los Angeles (Bel-Air Hills),8,7,9,unknown,unknown,,,yes,10117,11533,9226,no,Bel-Air Hills retreat with game room. Over budget. Premium location.
6,Airbnb,https://www.airbnb.com/rooms/1227696600344472592,Private 7BR Hollywood Retreat Pool Jacuzzi Views,Los Angeles (Hollywood),7,7,unknown,yes,unknown,5.0,39,no,11368,12959,10367,no,5-star with 39 reviews; pool + Jacuzzi + views. Over budget but great fit if you can stretch.
7,Airbnb,https://www.airbnb.com/rooms/1625002294982715256,Resort-Style Hancock Park Home,Los Angeles (Hancock Park),7,8,9,unknown,unknown,,,yes,14518,16550,13240,no,Superhost central-LA option. Significantly over budget.
8,Airbnb,https://www.airbnb.com/rooms/899099244009918926,Celebrity Hideaway in Bel Air Paradise,Los Angeles (Bel-Air),8,8,8,unknown,unknown,4.75,12,no,18886,21530,17224,no,Bel-Air luxury. ~3.5x your budget.
9,VRBO,https://www.vrbo.com/2392503,MELROSE MANSION!! 7 BEDROOM,Hollywood (Melrose),7,3,25,no,no,,,,,,,unknown,VRBO refused Aug 18-23 quote — minimum-stay > 5 nights. Pricing not retrievable without contacting host. Arcade/game room. Check manually.
10,VRBO,https://www.vrbo.com/1213366,(delisted),Beverly Hills,,,,,,,,,,,,unknown,Listing redirects to a category page. Property removed from VRBO. Skip.
11,VRBO,https://www.vrbo.com/pdp/lo/87658047,StaysPro - Hollywood Homes,Hollywood,,,,no,yes,,185,,,,,unknown,Multi-unit aparthotel collection (not a single house). 185 reviews. Would need to book multiple units. Check manually if interested.
